polecat 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1
gull 0 1 1 0 1 1 1 0 1 1 0 0 2 1 0 0
hare 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 0
tortoise 0 0 1 0 0 0 0 0 1 1 0 0 4 1 0 1
hamster 1 0 0 1 0 0 0 1 1 1 0 0 4 1 1 0
buffalo 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 1
tuna 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1
vulture 0 1 1 0 1 0 1 0 1 1 0 0 2 1 0 1
skimmer 0 1 1 0 1 1 1 0 1 1 0 0 2 1 0 0
kiwi 0 1 1 0 0 0 1 0 1 1 0 0 2 1 0 0
gnat 0 0 1 0 1 0 0 0 0 1 0 0 6 0 0 0
crab 0 0 1 0 0 1 1 0 0 0 0 0 4 0 0 0
sole 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0
scorpion 0 0 0 0 0 0 1 0 0 1 1 0 8 1 0 0
bear 1 0 0 1 0 0 1 1 1 1 0 0 4 0 0 1
bass 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0
catfish 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0
termite 0 0 1 0 0 0 0 0 0 1 0 0 6 0 0 0
hawk 0 1 1 0 1 0 1 0 1 1 0 0 2 1 0 0
duck 0 1 1 0 1 1 0 0 1 1 0 0 2 1 0 0
octopus 0 0 1 0 0 1 1 0 0 0 0 0 8 0 0 1
seahorse 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0
honeybee 1 0 1 0 1 0 0 0 0 1 1 0 6 0 1 0
chub 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0
vole 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 0
carp 0 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0
herring 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0
pussycat 1 0 0 1 0 0 1 1 1 1 0 0 4 1 1 1
frog 0 0 1 0 0 1 1 1 1 1 0 0 4 0 0 0
skua 0 1 1 0 1 1 1 0 1 1 0 0 2 1 0 0
lark 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 0
porpoise 0 0 0 1 0 1 1 1 1 1 0 1 0 1 0 1
slowworm 0 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0
human 1 0 0 1 0 0 1 1 1 1 0 0 2 0 1 1
opossum 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 0
chicken 0 1 1 0 1 0 0 0 1 1 0 0 2 1 1 0
sparrow 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 0
fruitbat 1 0 0 1 1 0 0 1 1 1 0 0 2 1 0 0
piranha 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0
lion 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1
moth 1 0 1 0 1 0 0 0 0 1 0 0 6 0 0 0
flea 0 0 1 0 0 0 0 0 0 1 0 0 6 0 0 0
wren 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 0
raccoon 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1
pheasant 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 0
boar 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1
seawasp 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0
wolf 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1
